,Branch,Date,# Drops,# Partials,# Irregular Borrower,# Paid Off Yesterday,# Today Disbursed,# Today Paid Off,# Virtual New Borrower (Disbursed),# Returning Borrowers (Disbursed),# CGT Trainings,New Members (pending loans not yet approved),# Recognized Return Members (pending loans not yet approved),$ Portfolio Outstanding,Center #,Total # Active Members,# Active Members Present,# Active Members late,# Active Members Absent Excused,# Active Members Absent Unexcused,Reasons for Lateness or Absences
426,14 - Austin - Texas,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
427,14 - Austin - Texas,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
428,14 - Austin - Texas,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
429,14 - Austin - Texas,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
430,14 - Austin - Texas,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
431,14 - Austin - Texas,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
432,14 - Austin - Texas,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
433,14 - Austin - Texas,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
434,14 - Austin - Texas,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
435,15 - Chelsea - Boston,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
436,15 - Chelsea - Boston,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
437,15 - Chelsea - Boston,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
438,15 - Chelsea - Boston,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
439,15 - Chelsea - Boston,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
440,15 - Chelsea - Boston,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
441,15 - Chelsea - Boston,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
442,15 - Chelsea - Boston,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
443,15 - Chelsea - Boston,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
444,15 - Chelsea - Boston,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
445,15 - Chelsea - Boston,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
446,15 - Chelsea - Boston,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
447,15 - Chelsea - Boston,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
448,15 - Chelsea - Boston,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
449,15 - Chelsea - Boston,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
450,15 - Chelsea - Boston,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
451,15 - Chelsea - Boston,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
452,15 - Chelsea - Boston,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
453,15 - Chelsea - Boston,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
454,15 - Chelsea - Boston,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
455,15 - Chelsea - Boston,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
456,15 - Chelsea - Boston,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
457,15 - Chelsea - Boston,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
458,15 - Chelsea - Boston,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
459,15 - Chelsea - Boston,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
460,15 - Chelsea - Boston,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
461,15 - Chelsea - Boston,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
462,15 - Chelsea - Boston,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
463,15 - Chelsea - Boston,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
464,16 - Harlem - Manhattan 2,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
465,16 - Harlem - Manhattan 2,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
466,16 - Harlem - Manhattan 2,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
467,16 - Harlem - Manhattan 2,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
468,16 - Harlem - Manhattan 2,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
469,16 - Harlem - Manhattan 2,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
470,16 - Harlem - Manhattan 2,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
471,16 - Harlem - Manhattan 2,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
472,16 - Harlem - Manhattan 2,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
473,16 - Harlem - Manhattan 2,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
474,16 - Harlem - Manhattan 2,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
475,16 - Harlem - Manhattan 2,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
476,16 - Harlem - Manhattan 2,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
477,16 - Harlem - Manhattan 2,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
478,16 - Harlem - Manhattan 2,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
479,16 - Harlem - Manhattan 2,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
480,16 - Harlem - Manhattan 2,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
481,16 - Harlem - Manhattan 2,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
482,16 - Harlem - Manhattan 2,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
483,16 - Harlem - Manhattan 2,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
484,16 - Harlem - Manhattan 2,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
485,16 - Harlem - Manhattan 2,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
486,16 - Harlem - Manhattan 2,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
487,16 - Harlem - Manhattan 2,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
488,16 - Harlem - Manhattan 2,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
489,16 - Harlem - Manhattan 2,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
490,16 - Harlem - Manhattan 2,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
491,16 - Harlem - Manhattan 2,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
492,16 - Harlem - Manhattan 2,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
493,17 - Union City - New Jersey 1,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
494,17 - Union City - New Jersey 1,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
495,17 - Union City - New Jersey 1,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
496,17 - Union City - New Jersey 1,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
497,17 - Union City - New Jersey 1,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
498,17 - Union City - New Jersey 1,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
499,17 - Union City - New Jersey 1,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
500,17 - Union City - New Jersey 1,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
501,17 - Union City - New Jersey 1,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
502,17 - Union City - New Jersey 1,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
503,17 - Union City - New Jersey 1,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
504,17 - Union City - New Jersey 1,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
505,17 - Union City - New Jersey 1,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
506,17 - Union City - New Jersey 1,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
507,17 - Union City - New Jersey 1,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
508,17 - Union City - New Jersey 1,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
509,17 - Union City - New Jersey 1,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
510,17 - Union City - New Jersey 1,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
511,17 - Union City - New Jersey 1,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
512,17 - Union City - New Jersey 1,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
513,17 - Union City - New Jersey 1,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
514,17 - Union City - New Jersey 1,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
515,17 - Union City - New Jersey 1,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
516,17 - Union City - New Jersey 1,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
517,17 - Union City - New Jersey 1,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
518,17 - Union City - New Jersey 1,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
519,17 - Union City - New Jersey 1,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
520,17 - Union City - New Jersey 1,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
521,17 - Union City - New Jersey 1,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
522,19 - Newark - New Jersey 2,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
523,19 - Newark - New Jersey 2,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
524,19 - Newark - New Jersey 2,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
525,19 - Newark - New Jersey 2,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
526,19 - Newark - New Jersey 2,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
527,19 - Newark - New Jersey 2,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
528,19 - Newark - New Jersey 2,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
529,19 - Newark - New Jersey 2,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
530,19 - Newark - New Jersey 2,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
531,19 - Newark - New Jersey 2,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
532,19 - Newark - New Jersey 2,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
533,19 - Newark - New Jersey 2,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
534,19 - Newark - New Jersey 2,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
535,19 - Newark - New Jersey 2,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
536,19 - Newark - New Jersey 2,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
537,19 - Newark - New Jersey 2,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
538,19 - Newark - New Jersey 2,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
539,19 - Newark - New Jersey 2,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
540,19 - Newark - New Jersey 2,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
541,19 - Newark - New Jersey 2,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
542,19 - Newark - New Jersey 2,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
543,19 - Newark - New Jersey 2,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
544,19 - Newark - New Jersey 2,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
545,19 - Newark - New Jersey 2,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
546,19 - Newark - New Jersey 2,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
547,19 - Newark - New Jersey 2,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
548,19 - Newark - New Jersey 2,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
549,19 - Newark - New Jersey 2,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
550,19 - Newark - New Jersey 2,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
551,20 - Miami - Florida,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
552,20 - Miami - Florida,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
553,20 - Miami - Florida,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
554,20 - Miami - Florida,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
555,20 - Miami - Florida,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
556,20 - Miami - Florida,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
557,20 - Miami - Florida,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
558,20 - Miami - Florida,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
559,20 - Miami - Florida,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
560,20 - Miami - Florida,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
561,20 - Miami - Florida,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
562,20 - Miami - Florida,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
563,20 - Miami - Florida,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
564,20 - Miami - Florida,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
565,20 - Miami - Florida,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
566,20 - Miami - Florida,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
567,20 - Miami - Florida,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
568,20 - Miami - Florida,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
569,20 - Miami - Florida,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
570,20 - Miami - Florida,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
571,20 - Miami - Florida,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
572,20 - Miami - Florida,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
573,20 - Miami - Florida,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
574,20 - Miami - Florida,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
575,20 - Miami - Florida,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
576,20 - Miami - Florida,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
577,20 - Miami - Florida,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
578,20 - Miami - Florida,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
579,20 - Miami - Florida,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
580,21 - Houston - Texas,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
581,21 - Houston - Texas,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
582,21 - Houston - Texas,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
583,21 - Houston - Texas,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
584,21 - Houston - Texas,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
585,21 - Houston - Texas,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
586,21 - Houston - Texas,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
587,21 - Houston - Texas,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
588,21 - Houston - Texas,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
589,21 - Houston - Texas,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
590,21 - Houston - Texas,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
591,21 - Houston - Texas,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
592,21 - Houston - Texas,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
593,21 - Houston - Texas,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
594,21 - Houston - Texas,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
595,21 - Houston - Texas,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
596,21 - Houston - Texas,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
597,21 - Houston - Texas,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
598,21 - Houston - Texas,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
599,21 - Houston - Texas,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
600,21 - Houston - Texas,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
601,21 - Houston - Texas,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
602,21 - Houston - Texas,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
603,21 - Houston - Texas,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
604,21 - Houston - Texas,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
605,21 - Houston - Texas,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
606,21 - Houston - Texas,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
607,21 - Houston - Texas,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
608,21 - Houston - Texas,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
609,22 - Long Beach - Los Angeles 3,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
610,22 - Long Beach - Los Angeles 3,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
611,22 - Long Beach - Los Angeles 3,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
612,22 - Long Beach - Los Angeles 3,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
613,22 - Long Beach - Los Angeles 3,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
614,22 - Long Beach - Los Angeles 3,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
615,22 - Long Beach - Los Angeles 3,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
616,22 - Long Beach - Los Angeles 3,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
617,22 - Long Beach - Los Angeles 3,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
618,22 - Long Beach - Los Angeles 3,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
619,22 - Long Beach - Los Angeles 3,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
620,22 - Long Beach - Los Angeles 3,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
621,22 - Long Beach - Los Angeles 3,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
622,22 - Long Beach - Los Angeles 3,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
623,22 - Long Beach - Los Angeles 3,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
624,22 - Long Beach - Los Angeles 3,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
625,22 - Long Beach - Los Angeles 3,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
626,22 - Long Beach - Los Angeles 3,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
627,22 - Long Beach - Los Angeles 3,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
628,22 - Long Beach - Los Angeles 3,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
629,22 - Long Beach - Los Angeles 3,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
630,22 - Long Beach - Los Angeles 3,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
631,22 - Long Beach - Los Angeles 3,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
632,22 - Long Beach - Los Angeles 3,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
633,22 - Long Beach - Los Angeles 3,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
634,22 - Long Beach - Los Angeles 3,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
635,22 - Long Beach - Los Angeles 3,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
636,22 - Long Beach - Los Angeles 3,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
637,22 - Long Beach - Los Angeles 3,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
638,23 - Fresno,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
639,23 - Fresno,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
640,23 - Fresno,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
641,23 - Fresno,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
642,23 - Fresno,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
643,23 - Fresno,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
644,23 - Fresno,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
645,23 - Fresno,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
646,23 - Fresno,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
647,23 - Fresno,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
648,23 - Fresno,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
649,23 - Fresno,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
650,23 - Fresno,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
651,23 - Fresno,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
652,23 - Fresno,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
